Smiles,NET_pIC50_rat,DAT_pIC50_rat,DAT_pIC50_human,B1_pEC50_human,B3_pEC50_human,A1a_pEC50_human,B2_pEC50_human
CC(Cc1cccc(NC(=O)c2cccc(c2)N(C)C(=O)CCN3CCC(CC3)OC(=O)Nc4ccccc4c5ccccc5)c1)NC[C@H](O)c6ccc(O)c7NC(=O)C=Cc67,,,,,,,9
COc1ccc(CC(C)(C)NCC(O)COc2cccc(Cl)c2Cl)cc1,,,,,6.698970004,,
Cc1csc(n1)c2ccccc2OCC3=NCCN3,,,,,,7.602059991,
O[C@@H](CN[C@H]1CCCc2ccc(Oc3cccc(c3)C(=O)O)cc2C1)c4cccc(Cl)c4,,,,6.795880017,8.346787486,,
COC(=O)C1C2CCC(C[C@@H]1c3ccc(cc3)[Sn](C)(C)C)N2C,,6.841637508,,,,,
CN(C)C1CC(c2ccc(F)c(F)c2)c3ccccc13,7.537602002,7.207608311,,,,,
OC1(N2CCCN=C2c3ccccc13)c4ccc(OCC=C)cc4,,7.145693958,,,,,
Oc1ccc(CCNCCc2ccc(CNCCc3ccccn3)cc2)c4SC(=O)Nc14,,,,,,,6.801342913
Fc1ccc(cc1)C(OCCN2CC3CCC(C2)N3C\C=C\c4occc4)c5ccc(F)cc5,,8.259637311,,,,,
COC(=O)C1[C@H](C[C@@H]2CCC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,,,7.958607315,,,,
CNCCCCNC1(CCCCC1)c2cc3ccccc3s2,,7.48148606,,,,,
Nc1c2CCCCc2nc3ccccc13,5.102372909,,,,,,
CS(=O)(=O)NC(=O)c1ccc(cc1NC2CCCCC2)c3ccc(CCNC[C@H](O)c4ccccc4)cc3,,,,6.045757491,9.853871964,,
CC(C)(Cc1ccccc1)NCC(O)c2ccc(O)c3NC(=O)COc23,,,,9.096910013,,,9.698970004
CNCC(=O)CCN1c2ccccc2N(c3ccccc3F)S1(=O)=O,,,5.83120798,,,,
C[C@H](CNc1ccc(CNC(=O)C)cc1)NC[C@H](O)c2cccc(Cl)c2,,,,8.102372909,7.886056648,,8.494850022
COc1ccc(cc1OC)[C@@H]2C3CCC(C[C@H]2c4ccc(C)cc4)N3C,,,6.008773924,,,,
Cc1cc(on1)[C@@H]2C3CCC(C[C@@H]2c4ccc(Br)cc4)S3,,,7.853871964,,,,
