smiles,pEC50_GluN_e2z1_rat,pEC50_GluN_e3z1_rat,pEC50_GlyT1_human,pEC50_GlyT2_human,pIC50_GABAa1b2g2_human,pEC50_GluA_human,pKi_GABA_a1b3g2_human,pKi_GABA_a2b3g2_human,pKi_GABAa5b3g2_human,pKi_GABA_a3b3g2_human
FC(F)(F)c1ccn2c(cnc2n1)-c1cccc(Br)n1,,,,,,,9.508638306,9.167491087,,9.167491087
CSc1ccc(c2CC(C)(C)CC(=O)c12)-c1ccccn1,,,,,,,6.640164518,7.22184875,7.721246399,7.229147988
COc1cc(cc(c1C(=O)NC1(CCCN(CC2CC2)C1)c1ccccc1)C(F)(F)F)C(F)(F)F,,,6.420216403,,,,,,,
CN[C@H](CC(O)=O)C(O)=O,,,,,,,,,,
CCNC(=O)C(=C/Nc1ccc(Cl)cc1)\C(=O)c1ccccc1Cl,,,,,7.301029996,,,,,
COc1cc(cc(c1C(=O)NC1(CCCN(Cc2ccccc2)C1)c1ccccc1)C(F)(F)F)C(F)(F)F,,,5.173925197,,,,,,,
Clc1cccc(c1)-c1c(o[nH]c1=O)C1CCNCC1,,,,,,,7.318758763,,,
CN1c2ccc(Cl)cc2C(=NCC1=O)c1cccs1,,,,,,,7.721246399,7.886056648,7.920818754,7.886056648
CCCCCCN1CNC(=O)C11CCN(CC1)[C@H]1CCCC[C@H]1c1ccccc1,,,7.30980392,4.619788758,,,,,,
Cn1ncnc1COc1nn2c(nncc2c1-c1ccccc1F)-c1c(F)cc(F)cc1F,,,,,,,,8.585026652,,8.585026652
CCOc1ccc(OCC2N(CCc3cc(OC(C)C)ccc23)C(=O)c2cccc(Cl)c2)cc1,5.27572413,5.744727495,,,,,,,,
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,,,,,3.238824187,,,,,
C(Oc1nn2c(nnc2c2ccccc12)-c1ccccc1)C1CCNCC1,,,,,,,7.494850022,7.397940009,7.522878745,7.431798276
Cc1cc(no1)-c1nnc2c3ccccc3c(OCc3ccccn3)nn12,,,,,,,8.823908741,8.568636236,8.823908741,8.823908741
CCOc1ccc(OCC2N(CCc3cc(OC4CCCC4)ccc23)C(=O)c2cccc(F)c2)cc1,5.356547324,5.346787486,,,,,,,,
CCN(CC)Cc1ncn-2c1CN(C)C(=O)c1cc(Cl)ccc-21,,,,,,,5.023054249,4.522878745,5.587875594,4.812225545
C(Cc1ccccn1)Oc1nn2c(nnc2c2ccccc12)-c1ccccc1,,,,,,,7.744727495,7.602059991,7.823908741,7.769551079
CN(C)C(=O)N1Cc2c(ncn2-c2ccccc12)-c1noc(n1)C1CC1,,,,,,,,8.455931956,,
Cc1ncn-2c1Cn1ncnc1-c1c(Cl)cccc-21,,,,,,,,,8.920818754,
On1cc(C2CCNCC2)c(n1)-c1ccccc1,,,,,5.721246399,,,,,
OC(=O)c1nc2n(n1)c1cc(Cl)ccc1[nH]c2=O,,,,,,,,,,
CSc1sc(-c2cc[nH]n2)c2CC(C)(C)CC(=O)c12,,,,,,,7.180456064,7.251811973,8.283996656,7.677780705
Cc1csc(n1)-c1cc(-c2ccnnc2)c2-c3cnccc3CCCn2c1=O,,,,,,,8.080921908,8.301029996,,8.301029996
CCn1ccnc1COc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccccc1,,,,,,,8.48148606,8.638272164,9.537602002,9
Cc1cc(no1)-c1nnc2c3ccccc3c(OCc3cnn(C)n3)nn12,,,,,,,8.886056648,9.193820026,9.060480747,9.096910013
O=C(C1CC1)c1ncn-2c1Cn1nccc1-c1ccccc-21,,,,,,,,,9,
C(Oc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccccc1)c1ncc[nH]1,,,,,,,7.27572413,7.744727495,9.060480747,8.173925197
C(Oc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccco1)c1ccccn1,,,,,,,6.568636236,6.958607315,8.27572413,7.27572413
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,,,,,,,6.113509275,6.337242168,6.283996656,6.13076828
COC(=O)c1cc2c(c[nH]1)nc1ccc(SC#N)cc21,,,,,,,8.468521083,7.522878745,6.850780887,7.522878745
FC(F)(F)c1ccn2c(cnc2n1)-c1cccc(n1)-c1ccccc1C#N,,,,,,,9.443697499,9.337242168,,9.337242168
CNS(=O)(=O)c1ccc(N2CCOCC2)c(c1)C(=O)N1CCN(CC1)c1ccc(cc1F)C(C)=O,,,7,,,,,,,
CC(C)(C)c1ccc(cc1)-c1c(sc(c1C#N)S(C)(=O)=O)C(O)=O,,,,,,6.201349355,,,,
CSc1sc(C(O)=O)c(c1C#N)-c1ccc(cc1)C(C)(C)C,,,,,,5.807432547,,,,
CC[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCCC(O)=O,5.004364805,,,,,,,,,
CC(C)S(=O)(=O)NCCc1ccc(cc1)-c1ccccc1F,,,,,,5.142667504,,,,
CCOC(=O)c1ncn-2c1[C@@H]1CCCN1C(=O)c1cc(ccc-21)C#C[Si](C)(C)C,,,,,,,6.698970004,6.906578315,8.397940009,7.102372909
Cc1noc(COc2nn3c(nnc3c3C4CCC(CC4)c23)-c2ccccc2)n1,,,,,,,6.537602002,6.602059991,7.920818754,7.292429824
CCC(C)OC(=O)c1cc2c(cn1)[nH]c1ccccc21,,,,,,,7.744727495,7.22184875,6.665546249,6.935542011
COc1ccc(OCC2N(CCc3cc(OC)c(OC)cc23)C(=O)c2cc(Cl)cc(Cl)c2)cc1,,5.318758763,,,,,,,,
CCO\N=C(/C)c1ccc2n(cnc2c1)-c1cccc(c1)-c1cccnc1,,,,,,,8.698970004,7.853871964,8.795880017,8.036212173
CCCOC(=O)c1cc2c(cn1)[nH]c1ccccc21,,,,,,,,6.035269079,,
Cn1ccn2c(cnc2c1=O)-c1ccc(F)c(c1)-c1ccc(F)cc1C#N,,,,,,,9.15490196,8.721246399,9.408935393,8.721246399
COc1cc(cc(SC)c1C(=O)NC1(CCCN(C)C1)c1ccncn1)C(F)(F)F,,,5.769551079,,,,,,,
C(Oc1nn2c(nnc2c2CCCCCc12)-c1ccccc1)c1ccccn1,,,,,,,7.387216143,7.769551079,8.568636236,7.769551079
CC(C)S(=O)(=O)NCC(C)c1ccc(cc1)-c1ccc(C=O)cc1,,,,,,6.602059991,,,,
CC(C)Sc1sc(C(O)=O)c(c1C#N)-c1ccc(cc1)C(C)(C)C,,,,,,5.727462223,,,,
COc1ccc(OCC2N(CCc3cc(ccc23)N(C)C)C(=O)c2cccc(Br)c2)cc1,,5.619788758,,,,,,,,
O=C1CN=C(c2ccccc2)c2ccccc2N1,,,,,,,6.543633967,6.632644079,6.853871964,6.455931956
C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@](O)(CC[C@H]34)C(F)(F)F)[C@@H]1CC[C@@H]2C(=O)CO,,,,,,,,5.638272164,,
CN(Cc1ccccc1)c1nn2c(nnc2c2ccccc12)-c1ccccc1,,,,,,,6.301029996,,6.619788758,
COC(=O)c1cc(-c2ccc(OC)cc2)c(-c2ccc(cc2)N(C)C)n(C)c1=O,,,,,,,,6.22184875,,6.602059991
CC1(C)Cc2c(sc(Sc3nccs3)c2C(=O)C1)-c1ccn[nH]1,,,,,,,8.366531544,7.721246399,8.853871964,7.318758763
Fc1ccc(cc1)C1CNC(=O)C11CCN(CC1)C1CCCCC1c1ccc(cc1)C(F)(F)F,,,5.632644079,,,,,,,
COC(=O)c1ccc(cc1O)C1N(CCc2c[nH]c3ccccc23)C(=O)C(O)=C1C(C)=O,,4.537602002,,,,,,,,
Cc1ncn-2c1Cn1cc(CN3CCCC3=O)nc1-c1cc(Br)ccc-21,,,,,,,,,8.795880017,
CC(C)S(=O)(=O)NCC(C)c1ccc(cc1)-c1ccccc1,,,,,,6,,,,
COc1ccc(OCC2N(CCc3cc(OC)c(OC)cc23)C(=O)c2cccc(F)c2)cc1,,5.142667504,,,,,,,,
CCOc1cc(cnn1)-c1cccc(c1)C#N,,,,,,,,7.142667504,7.443697499,7.142667504
Cc1ncn-2c1Cn1nc(CN3CCCC3=O)nc1-c1cc(Br)ccc-21,,,,,,,6.20481541,6.174573882,8.15490196,6.288192771
CCOc1ccc(OCC2N(CCc3cc(OC(C)C)ccc23)C(=O)c2cccc(F)c2)cc1,5.142667504,,,,,,,,,
CN1C(=[NH2+])N(C)[C@]2(Cc3c([nH]c4ccccc34)[C@@]3([C@H]2c2c[nH]c4ccccc24)N(C)C(=[NH2+])N(C)C3=O)C1=O,,,,,,,,,,
COC(=O)c1ccc(cc1)C1N(CCc2c[nH]c3ccccc23)C(=O)C(O)=C1C(=O)c1cccc(C)c1,,4.795880017,,,,,,,,
CC(C)Oc1sc(-c2cc[nH]n2)c2CC(C)(C)CC(=O)c12,,,,,,,6.924453039,6.739928612,7.823908741,7.161150909
CC1(C)Cc2c(sc(SCCO)c2C(=O)C1)-c1ccccn1,,,,,,,8.443697499,8.283996656,9.301029996,8
CS(=O)(=O)c1ccc(N2CCOCC2)c(c1)C(=O)N1Cc2cc(cnc2C1)C(F)(F)F,,,5.522878745,,,,,,,
