smiles,pKi_hm,pKi_hd,pKi_hk,pEC50_hm,pEC50_hd,pEC50_hk
COC(=O)[C@@H]1C[C@H](OC(=O)C)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@@H](C[C@]23C)c4ccoc4c5ccccc5F,,,,,,8.920818754
C(N1CCN(CC1)c2ncccn2)c3ccccc3,,,,4.033999142,,
O=C1N[C@@H]2CCCC[C@H]2N1C3CCN(CC3)C4CCC5CCCCC5C4,6.681936665,,5.855737226,,,
Fc1cccc(NC(=O)N2CCC(CC2)(c3ccccc3)c4nccn4Cc5ccccc5)c1,,7.537602002,,,,
OC[C@H](O)CNC1=Nc2ccccc2N([C@H]3C[C@H]4CC[C@@H](C3)N4C5CCCCCCC5)C1=O,6.239577517,4.308741642,6.806875402,,,
Cc1cccc(c1)n2ccnc2CN3CCC(CO)(CC4CCCCO4)CC3,,,,,,5
CCN([C@H]1C[C@@H](C(=O)OC)[C@]2(C)CC[C@H]3C(=O)O[C@@H](C[C@]3(C)[C@H]2C1=O)c4cocc4)C(=O)C,,,7.552841969,,,7.602059991
CCCC(C)N1CC2CCCC(C1)C2(OC)c3ccnc(c3)C(=O)N,8.522878745,,,,,
CN(C)C1(Cc2ccccc2)CCN(CC1)c3cc(ccc3CNC(=O)Nc4ccc(CNS(=O)(=O)N)c(F)c4)C(F)(F)F,7.142667504,,,,,
NC(=O)CNC1=Nc2ccccc2N(C3CCN(CC3)C45CC6CC(CC(C6)C4)C5)C1=O,5.032264868,,5.360613131,,,
Cl.Oc1ccc(CCN(CCc2cccc(O)c2)CC3CC3)cc1,6.337242168,,8.443697499,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(C)(C)NS(=O)(=O)C)C(=O)N2CC3(O)CCC3)c4ccccc4,6.628932138,,,,,
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H]2Cc3ccccc3CN(CC(=O)NCc4ccccc4)C2=O,9.337242168,7.958607315,,,,
COCCOCCOCCOC[C@H]1C[C@]23CC[C@]1(OC)[C@@H]4Oc5c(OC)ccc6C[C@H]2N(CC7CC7)CC[C@@]34c56,7.2915791,5.519310515,7.431329022,,,6.178132892
CC(C)C[C@H](N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N,,7.173925197,,,,
Ic1ccc(CSc2nnc(c3ccccn3)n2Cc4cccnc4)cc1,,,,,,7.119186408
CCC(=O)N(CC1CCN(Cc2ccc3[C@@H](CCCc3c2)NC(=O)[C@H](Cc4ccccc4)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc5ccc(O)cc5)CC1)c6ccccc6,,6.494850022,,,,
C[C@H]([C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)[C@@H](N)Cc4ccc(O)cc4)C(=O)N)c5ccccc5,,7.958607315,,,,
CC1CC(C)CN(CCOc2cccc(Cl)c2Cl)C1,,,,4.033999142,,
Oc1ccc2C(=O)[C@@H]3[C@@H]4CCCC[C@]4(CCN3CCCF)c2c1,,6.161150909,,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(C(=O)N2)c3cnc(nc3)C(=O)NCCO)c4ccccc4,5.772113295,,,,,
C[C@H]1CN2C[C@H](CC[C@@H]2C[C@@]1(C)c3cccc(O)c3)c4ccccc4,6.366531544,,5.853871964,,,
CO[C@]12CCC(=O)[C@]3(C)Oc4c(O)ccc5C[C@H]1N(C)CC[C@@]23c45,11,7.886056648,7.823908741,8.48148606,,
COc1ccccc1C(N2CCC(O)(CC2)c3ccccc3)c4ccccc4,7.552841969,6.010995384,6.284832642,,,
FC(F)(F)c1cc(CSc2nnc(c3ccc(Br)cc3)n2Cc4occc4)ccc1Cl,,,,,,4.957424488
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@]7(CC[C@@]36C[C@@H]7COCc8ccc(CC(=O)O)cc8)OC,5.997721598,,6.286862412,6.023984928,,6.045496992
CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(c4)C(=O)N,6.549750892,9.537602002,6.139661993,,9.522878745,
COC(=O)\C=C\C(=O)NC1CC[C@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CC6)c45,9.522878745,7.89279003,9.698970004,,,
COC(=O)N1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C(=O)[C@@H](O)[C@@H]4O)c35,5.966576245,5.946921557,,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(C(=O)N2)c3ccncc3C)c4ccccc4,5.320118058,,,,,
C[C@H]1CN2CCN(Cc3cocc3)C[C@H]2C[C@@]1(C)c4cccc(O)c4,7.920818754,6.13076828,6.920818754,,,
CC1Cc2c([nH]c3ccc(C)cc23)C4(CCC(CC4)(N(C)C)c5ccccc5)O1,7.853871964,,,,,
OC(=O)CN1CCN(Cc2nc3ccccc3n2[C@H]4C[C@H]5CCC[C@@H](C4)N5[C@H]6C[C@@H]7CCC[C@@H](C7)C6)CC1,4.698970004,6.341988603,5.167491087,,,
C[C@H]1[C@H]2CCC[C@@]1(CCN2CCc3ccccc3)c4cccc(O)c4,9.22184875,7.045757491,8.397940009,,,
CC1OC2(CCN(CCc3ccccc3)CC2)CN(C1=O)c4ncccc4C(F)(F)F,6.581698709,,,6.46470588,,
CN(C(CN1CCOCC1)c2ccc(cc2)c3ccc(NC(=O)C)cc3)C(=O)CN4C(=O)COc5cc(C)c(C)cc45,,,,,,6.096910013
C[C@@H]1[C@@H](N(Cc2ccccc12)C(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](Cc5ccccc5)C(=O)O,,9.27572413,,,,
Oc1ccc2CC3N(CC=C)CCC45[C@H](Oc1c24)C(=NNC(=O)c6ccccc6)CCC35O,9.537602002,8.853871964,9.522878745,,,
O=C(Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2c1)c6ccc(cc6)C(=O)Oc7ccc8C[C@@H]9[C@@H]%10CCCC[C@]%10(CCN9CC%11CCC%11)c8c7,8.327902142,6.397940009,8.37675071,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(=O)Nc3cnc(C)nc3)C(=O)N2CC4CCC4)c5ccccc5,7.66756154,,,,,
C(N1CCC(C1)Nc2oc3ccccc3n2)c4ccccc4,,,5.590066877,,,
OC(COc1ccc(Cc2ccc(OCC(O)COc3ccc4C[C@@H]5[C@@H]6CCCC[C@]6(CCN5CC7CCC7)c4c3)cc2)cc1)COc8ccc9C[C@@H]%10[C@@H]%11CCCC[C@]%11(CCN%10CC%12CCC%12)c9c8,9.619788758,7.537602002,9.468521083,,,
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)NCCCCCCCC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N3CCC[C@H]3C(=O)N4CC(O)CC4C(=O)NCC(=O)NC(Cc5cccs5)C(=O)N[C@@H](CO)C(=O)N6Cc7ccccc7C[C@@H]6C(=O)N8C9CCCCC9CC8C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,,8.698970004,,,,
NC(=O)[C@@H]1CCCN1C(=O)C2=CC3=C(C[C@]45CCN(CC6CC6)[C@H](Cc7ccc(O)cc47)[C@@H]5C3)NC2=O,9.387216143,,9.494850022,,,
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@H](CC[C@@]36O)NC(=O)c7ccc8[nH]ccc8c7,9.117475462,7.573488739,8.462180905,,,
Clc1cc2NC(=O)N(C3CCCN(Cc4ccc(Br)cc4)CC3)c2cc1Cl,,,,5.852942329,,
ONC(=O)c1ccc(Oc2ccc(CN3CCCC3c4cccc(F)c4)cc2)c(F)c1,5.553307534,,6.302770657,,,
OC(=O)c1ccc(cc1)C(=O)NC2CCC3(O)C4Cc5ccc(O)c6OC2C3(CCN4CC7CC7)c56,7.996539468,7.101110344,6.822146191,,,
COc1ccc(cc1)N2C(=O)N(C3CCN(CC3)c4cc(N)ccn4)c5ncccc25,,,,,8.522878745,
OC1(CCN(Cc2ccc3ccccc3c2)CC1)c4ccc(Cl)c(c4)C(F)(F)F,8.602059991,,,,,
COC(=O)N1C[C@H]2[C@H](CC[C@@H]1CN2C(=O)Cc3ccc(Cl)c(Cl)c3)N4CCCC4,5.213248578,,6.070581074,,,
CC(=O)N[C@H](Cc1c(C)[nH]c2ccccc12)C(=O)N[C@@H](Cc3ccccc3)C(=O)NCC(=O)N,6.503070352,,,,,
NC(=O)c1cc(cs1)S(=O)(=O)NC2CCN(Cc3ccccc3)CC2,,,5.010016542,,,
Oc1ccc2CC3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8ccc(F)cc8c7C[C@@]36O,,9.045757491,,,,
CN(CCc1cccc2sccc12)[C@@H]3CCCC[C@H]3N4CCCC4,4.844663963,,5.091514981,,,
Clc1cccc(CN2CCC(CC2)N3C(=O)Nc4ccccc34)c1,,,,5.868381336,,
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](N)Cc2ccccc2)C(=O)N[C@H](CCCCN)C(=O)NCc3cnc(C)cn3,,,,,,10.44490555
C[C@H]([C@@H](N)C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N)c5ccc(O)cc5,,6.946921557,,,,
COC12CC[C@@]3(C[C@@H]1CNC(=O)c4nccnc4C(=O)O)[C@H]5Cc6ccc(O)c7O[C@@H]2[C@]3(CCN5CC8CC8)c67,,,7.815876646,,,
CC(C)C(CCN1CCC(CC1)N2C(=O)Nc3ccccc23)Oc4cc(C)ccc4C,7.187086643,,,,,
Oc1cccc(c1)[C@@]23CCC[C@@H](C2)N(C[C@@H]4C[C@H]4c5ccccc5)CC3,8.397940009,6.698970004,6.677780705,,,
C[C@H]1[C@H]2Cc3ccc(cc3[C@@]1(C)CCN2CC4CC4)C(=O)NCCc5ccc(cc5)c6ccc7OCOc7c6,9.698970004,,,9.229147988,,
NC(=O)[C@H](CO)NC1=Nc2ccccc2N(C3CCN(CC3)C4CCCCCCC4)C1=O,5.476123524,4.017715195,5.891908764,,,
COCCOCCOCCO[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CCC6)c45,7.562090964,6.787013815,6.661344334,,,
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)c4ccccc4C)[C@H]5Cc6ccc(O)c7O[C@@H]2[C@]3(CCN5CC8CC8)c67,,,9.795880017,,,
O=S(=O)(N1CCCC1)c2ccccc2c3ccc(CN4C[C@@H]5CCC[C@H]4C5)cc3,7.180456064,,8.744727495,,,
