smiles,pEC50_rM1,pEC50_hM1,pEC50_hM2,pEC50_hM4,pEC50_rM4,pEC50_hM5,pKi_rM1,pKi_hM2,pKi_hM3,pIC50_hM2,pIC50_rM2,pIC50_hM3,pIC50_hM4,pIC50_hM5,pKi_hM4,pKi_hM5,pIC50_hM1,pIC50_rM1,pKi_hM1,pKi_rM2,pKi_rM3,pIC50_AChE_HouseMouse,pIC50_AChE_human,pIC50_AChE_Cow,pIC50_AChE_eel,pIC50_AChE_BrownRat,pIC50_BChE_human,pKi_AChE_eel,pKi_AChE_human,pKi_BChE_human
CN(C)CCOC(c1ccccc1)c2ccccc2C,,,,,,,7.38997897533585,6.67162039656126,6.92081875395237,,,,,,6.76955107862173,6.88941028970075,,,7.31875876262441,6.85001154350852,7.0100165416986,,,,,,,,,
Cc1cc(C)c2c(N)c(sc2n1)C(=O)c3ccccc3,,,,,5.81987412483595,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc2c(c[n+](C)c3c2ccc4cc5OCOc5cc34)c1OC,,,,,,,,,,,,,,,,,,,,,,,5.81247927916354,,5.42250820016277,,5.19859628998264,6.03621217265444,5.95078197732982,
COc1cc(cc(c1)N2CCC(CC2)C(=O)NCCC3CCN(Cc4ccccc4)CC3)C#N,,,,,,,,7.25963731050576,,,,,,,,,,,6.25963731050576,,,,,,,,,,,
OC(=O)c1ccc(cc1)\N=C\c2ccccc2[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,5.22184874961636,,,,,
CN(CCCCCCCCCCCCN(C)CC(=O)N1CCC[C@@H]2[C@@H]3CC4=C(C=CC(=O)N4)[C@]12CC(=C3)C)CC(=O)N5CCC[C@@H]6[C@@H]7CC8=C(C=CC(=O)N8)[C@]56CC(=C7)C,,,,,,,,,,,,,,,,,,,,,,,,,,7.27245874297144,,,,
CN(C)CCC1=C\C(=C/c2cccnc2)\c3ccccc13,,,,,,,,4.81998888094228,4.56000452604619,,,,,,4.65000410073714,4.57000561584829,,,4.72999699989494,,,,,,,,,,,
CCN(C)Cc1cccc(\C=C\2/Oc3cc(OC)c(OC)cc3C2=O)c1,,,,,,,,,,,,,,,,,,,,,,,,,,6.15490195998574,,,,
COc1ccc2[nH]c3c[n+](CCCCC[n+]4ccc5c(c4)[nH]c6ccc(OC)cc56)ccc3c2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49620931694282,,,
NC1=C(C#N)C2(C(=C3NCCN13)[N+](=O)[O-])c4ccccc4c5nc6ccc(cc6nc25)[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,,,5.18708664335714,,,,,,,
